Title|Description|Price|ImageUrl|TrailerUrl|DurationInMinutes|MovieCategory|AgeRating|ImdbRating|RottenTomatoesScore
Dune: Part Two|Paul Atreides unites with Chani and the Fremen while on a warpath of revenge against the conspirators who destroyed his family.|18.50|\images\movie\dune_part_two.jpg|https://www.youtube.com/watch?v=Way9Dexny3w|166|SciFi|PG13||
Oppenheimer|The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.|15.00|\images\movie\oppenheimer.jpg|https://www.youtube.com/watch?v=uYPbbksJxIg|180|Drama|R||
Spider-Man: Across the Spider-Verse|Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence.|14.00|\images\movie\spider_verse.jpg|https://www.youtube.com/watch?v=shW9i6k8cB0|140|Action|PG||
The Batman|When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption.|16.00|\images\movie\the_batman.jpg|https://www.youtube.com/watch?v=mqqft2x_Aa4|176|Action|PG13||
Everything Everywhere All at Once|A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes.|15.50|\images\movie\eeaao.jpg|https://www.youtube.com/watch?v=wxN1T1uxQ2g|139|SciFi|R||
Top Gun: Maverick|After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission.|17.00|\images\movie\top_gun.jpg|https://www.youtube.com/watch?v=giXcoVmhD7I|130|Action|PG13||
John Wick: Chapter 4|John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy.|18.00|\images\movie\john_wick_4.jpg|https://www.youtube.com/watch?v=qEVUtrk8_B4|169|Action|R||
The Grand Budapest Hotel|A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years.|12.00|\images\movie\grand_budapest.jpg|https://www.youtube.com/watch?v=1Fg5iWmQjwk|99|Comedy|R||
Interstellar|A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.|15.00|\images\movie\interstellar.jpg|https://www.youtube.com/watch?v=zSWdZVtXT7E|169|SciFi|PG13||
Inception|A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.|14.00|\images\movie\inception.jpg|https://www.youtube.com/watch?v=YoHD9XEInc0|148|SciFi|PG13||
